FechaHora,Algoritmo,Lenguaje,Instancia,Enfoque,Nodos,Resultado,Tiempo_s,Comentarios
2026-05-01 16:13:58,Greedy,C++,Instancia 1,Heuristica Greedy,125,76,0,Semilla Determinista (2)
2026-05-01 16:13:58,Greedy,C++,Instancia 2,Heuristica Greedy,125,78,0,Semilla Determinista (2)
2026-05-01 16:13:58,Greedy,C++,Instancia 3,Heuristica Greedy,125,84,0.001001,Semilla Determinista (2)
2026-05-01 16:13:58,Greedy,C++,Instancia 4,Heuristica Greedy,125,66,0.000867,Semilla Determinista (2)
2026-05-01 16:13:58,Greedy,C++,Instancia 5,Heuristica Greedy,125,92,0.001003,Semilla Determinista (2)
